"","release_year","genre_early_main","percent"
"126",1997,"Thrash Metal",0.140689655172414
"127",1998,"Thrash Metal",0.142317380352645
"128",1999,"Thrash Metal",0.110509209100758
"129",2000,"Thrash Metal",0.133616118769883
"130",2001,"Thrash Metal",0.109502262443439
"131",2002,"Thrash Metal",0.12070282658518
"132",2003,"Thrash Metal",0.113493064312736
"133",2004,"Thrash Metal",0.116329874385582
"134",2005,"Thrash Metal",0.111743404035178
"135",2006,"Thrash Metal",0.118884540117417
"136",2007,"Thrash Metal",0.111387163561077
"137",2008,"Thrash Metal",0.126093874303898
"138",2009,"Thrash Metal",0.123206751054852
"139",2010,"Thrash Metal",0.125830748781568
"140",2011,"Thrash Metal",0.112791702679343
"141",2012,"Thrash Metal",0.11865864144454
"142",2013,"Thrash Metal",0.124067164179104
"143",2014,"Thrash Metal",0.132197144173192
"144",2015,"Thrash Metal",0.131815775542615
"145",2016,"Thrash Metal",0.145483193277311
"146",2017,"Thrash Metal",0.128205128205128
"147",2018,"Thrash Metal",0.121799844840962
"148",1970,"Power Metal",0
"149",1971,"Power Metal",0
"150",1972,"Power Metal",0
"151",1973,"Power Metal",0
"152",1974,"Power Metal",0
"153",1975,"Power Metal",0
"154",1976,"Power Metal",0
"155",1977,"Power Metal",0.0588235294117647
"156",1978,"Power Metal",0.0416666666666667
"157",1979,"Power Metal",0
"158",1980,"Power Metal",0.00980392156862745
"159",1981,"Power Metal",0.0344827586206897
"160",1982,"Power Metal",0.0575539568345324
"161",1983,"Power Metal",0.101449275362319
"162",1984,"Power Metal",0.12
"163",1985,"Power Metal",0.138666666666667
"164",1986,"Power Metal",0.12
"165",1987,"Power Metal",0.0921985815602837
"166",1988,"Power Metal",0.122171945701357
"167",1989,"Power Metal",0.104
"168",1990,"Power Metal",0.0569852941176471
"169",1991,"Power Metal",0.0724381625441696
"170",1992,"Power Metal",0.0458860759493671
"171",1993,"Power Metal",0.0362776025236593
"172",1994,"Power Metal",0.0518867924528302
"173",1995,"Power Metal",0.0596797671033479
"174",1996,"Power Metal",0.0530846484935438
"175",1997,"Power Metal",0.0675862068965517
"176",1998,"Power Metal",0.0894206549118388
"177",1999,"Power Metal",0.107258938244854
"178",2000,"Power Metal",0.102863202545069
"179",2001,"Power Metal",0.109502262443439
"180",2002,"Power Metal",0.105423987776929
"181",2003,"Power Metal",0.0825977301387137
"182",2004,"Power Metal",0.0857454942654287
"183",2005,"Power Metal",0.0781169167097776
"184",2006,"Power Metal",0.0640900195694716
"185",2007,"Power Metal",0.0716356107660455
"186",2008,"Power Metal",0.0624502784407319
"187",2009,"Power Metal",0.0624472573839662
"188",2010,"Power Metal",0.0677891005759858
"189",2011,"Power Metal",0.0622299049265341
"190",2012,"Power Metal",0.0756663800515907
"191",2013,"Power Metal",0.0755597014925373
"192",2014,"Power Metal",0.0649470290188853
"193",2015,"Power Metal",0.0709370037056644
"194",2016,"Power Metal",0.071953781512605
"195",2017,"Power Metal",0.0869293308317699
"196",2018,"Power Metal",0.0853374709076804
"197",1970,"Nu Metal",0
"198",1971,"Nu Metal",0
"199",1972,"Nu Metal",0
"200",1973,"Nu Metal",0
"201",1974,"Nu Metal",0
"202",1975,"Nu Metal",0
"203",1976,"Nu Metal",0
"204",1977,"Nu Metal",0
